order_id,order_date,ship_date,ship_mode,customer_id
CA-2020-105893,2020-03-14,2020-03-18,"Standard Class",PK-19075
CA-2020-134515,2020-09-04,2020-09-08,"First Class",BC-11785
CA-2020-143259,2020-05-30,2020-06-04,"Standard Class",BH-11710
CA-2020-167164,2020-01-28,2020-02-03,"Second Class",AG-10270
CA-2020-195725,2020-08-12,2020-08-16,"Standard Class",GT-14635
CA-2021-107727,2021-03-18,2021-03-23,"Standard Class",CS-12355
CA-2021-115812,2021-06-09,2021-06-14,"Standard Class",IM-15070
CA-2021-115813,2021-06-09,2021-06-14,"First Class",HP-14815
CA-2021-119823,2021-04-15,2021-04-20,"First Class",JE-15715
CA-2021-127180,2021-07-31,2021-08-05,"Second Class",MV-17845
