order_id,order_date,ship_date,ship_mode,customer_id
CA-2020-105893,2020-03-14,2020-03-18,"Standard Class",PK-19075
CA-2020-134515,2020-09-04,2020-09-08,"First Class",BC-11785
CA-2020-143259,2020-05-30,2020-06-04,"Standard Class",BH-11710
CA-2020-167164,2020-01-28,2020-02-03,"Second Class",AG-10270
CA-2020-195725,2020-08-12,2020-08-16,"Standard Class",GT-14635
CA-2021-107727,2021-03-18,2021-03-23,"Standard Class",CS-12355
CA-2021-115812,2021-06-09,2021-06-14,"Standard Class",IM-15070
CA-2021-115813,2021-06-09,2021-06-14,"First Class",HP-14815
CA-2021-119823,2021-04-15,2021-04-20,"First Class",JE-15715
CA-2021-127180,2021-07-31,2021-08-05,"Second Class",MV-17845
CA-2021-135069,2021-09-22,2021-09-27,"Standard Class",CS-12355
CA-2021-135070,2021-09-22,2021-09-27,"Second Class",KN-16705
CA-2021-138688,2021-06-12,2021-06-16,"Second Class",SO-20335
CA-2021-152156,2021-11-08,2021-11-11,"Second Class",CG-12520
CA-2021-152157,2021-11-08,2021-11-11,"Second Class",DV-13045
CA-2021-163265,2021-12-01,2021-12-06,"Second Class",DV-13045
CA-2022-100391,2022-03-17,2022-03-22,"Second Class",GT-14635
CA-2022-100392,2022-03-17,2022-03-22,"Standard Class",EW-13945
CA-2022-112244,2022-06-28,2022-07-03,"Standard Class",LS-17230
CA-2022-140839,2022-05-23,2022-05-28,"Standard Class",JL-15775
CA-2022-143336,2022-08-27,2022-09-01,"Second Class",ZD-21925
CA-2022-143337,2022-08-27,2022-09-01,"Same Day",KL-16645
CA-2022-155363,2022-02-14,2022-02-19,"Standard Class",CG-12520
CA-2022-160782,2022-12-09,2022-12-13,"Standard Class",RB-19360
CA-2022-167199,2022-07-19,2022-07-23,"First Class",PH-19045
CA-2022-167200,2022-07-19,2022-07-23,"Standard Class",DP-13240
CA-2022-179980,2022-10-05,2022-10-09,"First Class",MB-17755
CA-2023-102925,2023-02-08,2023-02-12,"Second Class",SC-20470
CA-2023-102926,2023-02-08,2023-02-12,"Same Day",TR-21175
CA-2023-112220,2023-06-05,2023-06-09,"First Class",TM-21490
CA-2023-112221,2023-06-05,2023-06-09,"Standard Class",NB-18715
CA-2023-118255,2023-04-11,2023-04-16,"Standard Class",SF-20095
CA-2023-118256,2023-04-11,2023-04-16,"Second Class",AL-10735
CA-2023-122428,2023-10-22,2023-10-26,"Second Class",KL-16645
CA-2023-138897,2023-09-14,2023-09-18,"Second Class",TM-21490
CA-2023-145317,2023-11-30,2023-12-04,"Second Class",LS-17230
CA-2023-170310,2023-08-17,2023-08-21,"First Class",SO-20335
US-2020-108966,2020-10-11,2020-10-18,"Standard Class",BH-11710
US-2020-108967,2020-10-11,2020-10-18,"Standard Class",AA-10480
US-2020-118983,2020-11-22,2020-11-26,"Standard Class",MB-17755
