item_id,order_id,product_id,sales,quantity,discount,profit
1,CA-2021-152156,FUR-BO-10001798,261.9600,2,0.0000,41.9136
2,CA-2021-152156,FUR-CH-10000454,731.9400,3,0.0000,219.5820
3,CA-2021-152157,OFF-LA-10000240,14.6200,2,0.0000,6.8714
4,CA-2021-138688,FUR-TA-10000577,957.5775,5,0.4500,-383.0310
5,CA-2021-138688,OFF-ST-10000760,22.3680,2,0.2000,2.5164
6,CA-2021-138688,FUR-FU-10001487,48.8600,7,0.0000,14.1694
7,US-2020-108966,OFF-AR-10002833,7.2800,4,0.0000,1.9656
8,US-2020-108966,TEC-PH-10002275,907.1520,6,0.2000,90.7152
9,US-2020-108966,OFF-BI-10003910,18.5040,3,0.2000,5.7825
10,US-2020-108967,OFF-AP-10002892,114.9000,5,0.0000,34.4700
11,CA-2021-115812,FUR-TA-10001539,1706.1840,9,0.2000,85.3092
12,CA-2021-115812,OFF-PA-10001569,22.3680,2,0.2000,4.4736
13,CA-2021-115813,TEC-PH-10004093,911.4240,4,0.2000,68.3568
14,CA-2021-115813,OFF-BI-10000756,18.5040,3,0.2000,-3.7972
15,CA-2020-105893,TEC-AC-10003832,29.6000,2,0.0000,12.6640
16,CA-2020-167164,FUR-CH-10004218,288.3750,5,0.0000,103.8150
17,CA-2022-143336,TEC-CO-10004722,4099.9900,2,0.0000,819.9980
18,CA-2022-143336,OFF-EN-10001509,16.4480,4,0.2000,5.5523
19,CA-2022-143337,OFF-FA-10000304,4.6900,2,0.0000,1.6886
20,CA-2022-143337,FUR-FU-10004158,102.0000,2,0.0000,25.0290
21,CA-2022-160782,OFF-ST-10004186,99.9600,2,0.0000,29.9880
22,CA-2022-160782,TEC-AC-10001227,72.7740,3,0.2000,2.8280
23,CA-2021-119823,OFF-LA-10002762,26.4000,6,0.1000,10.3950
24,CA-2021-119823,FUR-BO-10004834,120.3700,1,0.0000,35.2289
25,CA-2021-135069,OFF-PA-10003169,22.3680,2,0.2000,5.5920
26,CA-2021-135070,TEC-PH-10001530,499.9900,1,0.0000,149.9970
27,US-2020-118983,OFF-BI-10004738,549.9800,2,0.0000,219.9920
28,CA-2022-100391,FUR-TA-10003542,380.1600,4,0.2000,19.0080
29,CA-2022-100392,TEC-AC-10002167,24.9600,2,0.0000,6.8640
30,CA-2023-112220,FUR-CH-10004218,432.7500,5,0.2500,-7.5938
31,CA-2023-112221,TEC-CO-10004722,2499.9900,1,0.0000,499.9980
32,CA-2023-145317,OFF-LA-10000240,48.4800,6,0.1000,19.8000
33,CA-2022-167199,FUR-BO-10001798,523.9200,4,0.0000,83.8272
34,CA-2022-167200,OFF-ST-10000760,44.7360,4,0.2000,5.0328
35,CA-2023-102925,TEC-PH-10002275,1360.7280,9,0.2000,136.0728
36,CA-2023-102926,FUR-TA-10000577,383.0310,2,0.4500,-153.2124
37,CA-2021-127180,OFF-AR-10002833,18.2000,7,0.0000,4.9140
38,CA-2022-140839,TEC-AC-10003832,59.2000,4,0.0000,25.3280
39,CA-2020-134515,FUR-CH-10000454,487.9600,2,0.0000,146.3880
40,CA-2023-118255,OFF-PA-10001569,44.7360,4,0.2000,8.9472
41,CA-2023-118256,TEC-PH-10004093,455.7120,2,0.2000,34.1784
42,CA-2022-155363,FUR-FU-10001487,209.6700,3,0.3000,14.1694
43,CA-2021-163265,OFF-BI-10003910,37.0080,6,0.2000,11.5650
44,CA-2023-170310,TEC-CO-10004722,1999.9900,1,0.0000,399.9980
45,CA-2020-143259,OFF-AP-10002892,45.9600,2,0.0000,13.7880
46,CA-2023-122428,FUR-BO-10004834,240.7400,2,0.0000,70.4578
47,CA-2021-107727,TEC-AC-10001227,121.2900,5,0.2000,4.7125
48,CA-2022-179980,OFF-ST-10004186,199.9200,4,0.0000,59.9760
49,CA-2020-195725,FUR-TA-10001539,568.7280,3,0.2000,28.4364
50,CA-2023-138897,TEC-PH-10001530,999.9800,2,0.0000,299.9940
51,CA-2022-112244,OFF-EN-10001509,41.1200,10,0.2000,13.8780
52,CA-2021-152156,TEC-AC-10002167,37.4400,3,0.0000,10.3060
53,CA-2021-138688,TEC-CO-10001970,7999.9800,2,0.0000,1599.9960
54,US-2020-108966,FUR-CH-10004218,576.7500,5,0.2500,-10.1344
55,CA-2022-143336,OFF-BI-10000756,27.7560,3,0.2000,-5.6956
56,CA-2021-135069,FUR-BO-10001798,523.9200,4,0.0000,83.8272
57,CA-2023-102925,OFF-ST-10004186,149.9400,3,0.0000,44.9820
58,CA-2021-107727,FUR-TA-10003542,570.2400,6,0.2000,28.5120
59,CA-2022-179980,TEC-PH-10002275,453.5760,3,0.2000,45.3576
60,CA-2020-195725,OFF-PA-10003169,44.7360,4,0.2000,11.1840
