product_id,product_name,category,sub_category
FUR-BO-10001798,"Bush Somerset Collection Bookcase",Furniture,Bookcases
FUR-BO-10004834,"O'Sullivan Plantations 2-Door Library",Furniture,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs",Furniture,Chairs
FUR-CH-10004218,"Global Adaptabilities Executive Chair",Furniture,Chairs
FUR-FU-10001487,"Eldon Expressions Punched Metal & Wood Folders",Furniture,Furnishings
FUR-FU-10004158,"Seth Thomas Clock (Set of 6)",Furniture,Furnishings
FUR-TA-10000577,"Bretford CR4500 Series Slim Rectangular Table",Furniture,Tables
FUR-TA-10001539,"Chromcraft Rectangular Conference Tables",Furniture,Tables
FUR-TA-10003542,"Bevis 36 x 72 Conference Tables",Furniture,Tables
OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances
