order_id,order_date,ship_date,ship_mode,customer_id
CA-2022-155363,2022-02-14,2022-02-19,"Standard Class",CG-12520
CA-2022-100391,2022-03-17,2022-03-22,"Second Class",GT-14635
CA-2022-100392,2022-03-17,2022-03-22,"Standard Class",EW-13945
CA-2022-140839,2022-05-23,2022-05-28,"Standard Class",JL-15775
CA-2022-112244,2022-06-28,2022-07-03,"Standard Class",LS-17230
CA-2022-167199,2022-07-19,2022-07-23,"First Class",PH-19045
CA-2022-167200,2022-07-19,2022-07-23,"Standard Class",DP-13240
CA-2022-143336,2022-08-27,2022-09-01,"Second Class",ZD-21925
CA-2022-143337,2022-08-27,2022-09-01,"Same Day",KL-16645
CA-2022-179980,2022-10-05,2022-10-09,"First Class",MB-17755
CA-2022-160782,2022-12-09,2022-12-13,"Standard Class",RB-19360
